#period	period time	calc time
1	2986	2001
2	2496	2017
3	2510	2247
4	4243	2009
5	2257	1741
6	2241	1507
7	1745	1761
8	2000	3500
9	3749	1492
10	2001	2003
11	2245	2007
12	2497	1508
13	2239	3003
14	3245	2012
15	2507	1757
16	2257	1993
17	2488	1759
18	3748	1760
19	2000	1750
20	1998	2000
21	2494	2004
22	2259	3243
23	3740	2511
24	3247	1998
25	2244	1997
26	2500	3267
27	3500	2001
28	2755	2006
29	2243	1999
30	2498	1499
31	3750	1747
32	2497	2023
33	2247	1999
34	2498	1507
35	2243	3002
36	3264	1739
37	1982	1770
38	2006	1770
39	1998	2006
40	2746	3006
41	3252	1998
42	2496	2000
43	2498	2005
44	2497	1999
45	3996	1752
46	2505	2000
47	2483	1507
48	2003	1505
49	1995	3261
50	3507	2002
51	2745	2004
52	2249	2002
53	2499	3007
54	4245	2001
55	2498	1501
56	1998	1496
57	1998	1503
58	1999	3491
59	3744	2001
60	2497	2016
61	2254	1762
62	2247	2019
63	2250	3000
64	3496	2001
65	2255	1746
66	2233	1778
67	2008	1768
68	1998	3255
69	3748	2016
70	2755	1988
71	2246	1741
72	2235	1767
73	3756	2010
74	2753	1997
75	2493	1751
76	1999	1747
77	1998	3001
78	3746	2000
79	2253	1749
80	1995	1757
81	1999	1755
82	2243	3249
83	3495	2001
84	2511	1741
85	2245	1756
86	2250	1749
87	3749	2001
88	2493	1751
89	2001	1751
90	2254	1734
91	2240	3253
92	3998	2001
93	2500	1748
94	1998	1739
95	1987	1756
96	2000	3010
97	3756	2006
98	2244	1756
99	2252	1761
100	2251	1750
101	4000	1999
102	2496	1757
103	1998	1755
104	2254	1500
105	2245	3002
106	3487	1753
107	2498	2018
108	2256	2008
109	2747	2257
110	3996	2008
111	2255	2000
112	2751	1500
113	1989	2004
114	2306	2948
115	3192	1751
116	2255	1744
117	2244	1987
118	2235	1755
119	2000	3017
120	3256	1751
121	2498	2002
122	2249	2005
123	2249	1749
124	2245	3252
125	3506	2007
126	2741	2004
127	2498	1760
128	2498	3252
129	3744	1746
130	2499	2002
131	2252	1756
132	2500	2001
133	3994	2001
134	2498	1778
135	2498	1504
136	1998	2005
137	2257	2989
138	3241	1768
139	2000	2001
140	2497	2001
141	2250	1995
142	2243	3009
143	3746	2005
144	2260	1743
145	2239	1501
146	1750	1750
147	2000	2999
148	3747	1996
149	2248	1749
150	2248	1500
151	1750	1750
152	2495	2990
153	3499	1742
154	2509	1984
155	2245	1993
156	2490	1501
157	3745	2020
158	2501	2019
159	2501	1749
160	2500	2015
161	2242	2999
162	3254	1743
163	2499	2014
164	2239	2002
165	2741	2004
166	4263	1994
167	2250	1742
168	2239	1494
169	2251	2003
170	2244	3005
171	3249	1740
172	2247	1501
173	1997	1510
174	2001	1749
175	2250	3000
176	3492	1996
177	2496	1996
178	2243	2016
179	2262	1757
180	3993	2005
181	2501	1996
182	2498	1999
183	2498	2006
184	2249	2998
185	3243	2002
186	2750	2001
187	2249	2000
188	2494	1500
189	2993	2514
190	3259	2003
191	2251	1751
192	2246	1503
193	1744	1757
194	2253	2752
195	3502	1999
196	2240	1756
197	2250	1758
198	2251	2002
199	2247	2995
200	3248	1741
201	2239	1750
202	2247	2014
203	2256	1749
204	2249	3004
205	3750	2003
206	2747	2002
207	2495	2007
208	2505	3252
209	3739	1758
210	2503	2002
211	2245	2007
212	2493	2003
213	4000	1757
214	2501	1751
215	2247	1751
216	1997	1752
217	2250	3250
218	3497	2000
219	2497	2007
220	2254	1997
221	2253	1997
222	3988	2008
223	2502	1994
224	2489	1751
225	2262	1749
226	1991	3256
227	3746	2008
228	2504	2002
229	2484	1767
230	2259	1757
231	3747	2007
232	2753	2001
233	2244	2005
234	2502	1502
235	1997	3491
236	3990	2011
237	2508	2003
238	2244	1759
239	1998	2256
240	3998	1754
241	1997	1752
242	1999	1769
243	1998	1759
244	2251	1997
245	3738	1499
246	1997	1749
247	1994	1753
248	2256	1496
249	1993	2003
250	3745	1514
