#period	period time	calc time
1	2741	2006
2	2248	2017
3	2260	1752
4	2247	1997
5	2246	1752
6	1996	2001
7	2248	2002
8	2753	1999
9	2494	1754
10	2248	2003
11	2496	2003
12	2756	1997
13	2242	1746
14	2243	1751
15	1996	1765
16	2262	1750
17	2240	2004
18	2252	1757
19	2251	1754
20	1993	1759
21	2505	2002
22	2243	1757
23	2254	1752
24	1991	1759
25	2007	1750
26	2245	1739
27	2241	1999
28	2243	1754
29	2009	2006
30	2751	2000
31	2246	2006
32	2751	2002
33	2242	1757
34	2248	1757
35	1999	1758
36	2252	1738
37	2249	2003
38	2246	2005
39	2752	1989
40	2489	1749
41	2496	2013
42	2254	2007
43	2751	2004
44	2499	2003
45	2747	2006
46	2246	1756
47	2501	2004
48	2246	2005
49	2250	1751
50	1999	1756
51	2498	2004
52	2246	2243
53	2740	2001
54	2247	2010
55	2762	1996
56	2487	1758
57	2003	1751
58	2248	1501
59	2251	1998
60	2243	2254
61	2750	2001
62	2249	2250
63	2999	2002
64	2246	1741
65	1993	1747
66	1995	1761
67	2257	2255
68	2503	1751
69	1993	1757
70	2250	1753
71	1999	1750
72	2002	1748
73	1987	1763
74	2257	1500
75	2252	2013
76	2242	1771
77	2245	1758
78	2009	1735
79	1990	1747
80	2243	1517
81	2255	2003
82	2497	2008
83	2501	2007
84	2248	2258
85	2751	1998
86	2495	2007
87	2502	2003
88	2244	2257
89	2751	2005
90	2497	2016
91	2504	1985
92	2231	1753
93	2258	2009
94	2751	2002
95	2246	1756
96	1997	1758
97	1997	1759
98	1993	2013
99	2505	2001
100	2248	2006
101	2251	1753
102	1997	2003
103	2499	2003
104	2247	1742
105	1988	2002
106	2250	1765
107	2510	2002
108	2245	2256
109	2752	2003
110	2244	1756
111	1998	2007
112	2501	1754
113	2239	2262
114	2505	1756
115	2248	1755
116	2251	2003
117	2253	1734
118	2362	1885
119	2374	1517
120	2243	1758
121	2255	2001
122	2490	1510
123	2007	1501
124	1997	1772
125	2260	1999
126	2239	2008
127	2752	2002
128	2243	2007
129	2753	1997
130	2244	1994
131	2494	1749
132	2251	2001
133	2755	2001
134	2485	2014
135	2509	2005
136	2242	2009
137	2504	1754
138	2249	2004
139	2246	1756
140	2000	2004
141	2245	2007
142	2752	2000
143	2244	1994
144	2489	2002
145	2247	1766
146	2251	2015
147	2501	1496
148	2000	1509
149	2004	1513
150	2249	1998
151	2249	2014
152	2498	2015
153	2248	1767
154	1993	2003
155	2499	1769
156	2244	2023
157	2253	1997
158	2244	2003
159	2755	2000
160	2247	2000
161	2248	1750
162	2241	2017
163	2509	2002
164	2498	2003
165	2246	1755
166	1998	2006
167	2252	2014
168	2500	2003
169	2243	1758
170	1995	2249
171	2743	2032
172	2507	1998
173	2498	1994
174	2246	2001
175	2249	2000
176	2498	1500
177	2256	1992
178	2241	1750
179	2249	1750
180	1997	1758
181	2250	1744
182	2246	2001
183	2247	1746
184	1992	2002
185	2764	1998
186	2240	1764
187	2258	1743
188	1990	1751
189	2006	1752
190	2239	1752
191	2249	2001
192	2247	1752
193	2259	1742
194	2491	1999
195	2247	1751
196	2257	1732
197	1982	1752
198	2251	1764
199	2254	2007
200	2248	1757
201	2258	1741
202	1986	1752
203	2500	2013
204	2247	2253
205	2747	2006
206	2250	2001
207	2498	1502
208	2004	1497
209	1992	1752
210	2247	1997
211	2242	1753
212	2010	2005
213	2249	1754
214	2251	1749
215	2244	2000
216	2501	1755
217	2237	1764
218	2264	1492
219	1991	1506
220	1997	2251
221	3000	2002
222	2246	1749
223	2256	1735
224	2231	1754
225	2251	2015
226	2508	1753
227	2498	2003
228	2245	2255
229	2750	1754
230	1998	1754
231	1997	1756
232	2251	2004
233	2246	1753
234	2502	2005
235	2242	1759
236	2002	1994
237	2239	1752
238	2499	2014
239	2258	1755
240	2252	1764
241	1991	1769
242	1998	2001
243	2506	1996
244	2244	2017
245	2247	1747
246	1996	1752
247	2498	2008
248	2248	2009
249	2251	1753
250	1994	1750
